time_period,time_identifier,geographic_level,country_code,country_name,region_name,region_code,old_la_code,la_name,new_la_code,pcon_code,pcon_name,phase_type_grouping,establishment_type,hospital_school,sen_provision,pupil_count
202526,Academic year,National,E92000001,England,,,,,,,,Independent school,Total,Total,Total,560255
202526,Academic year,National,E92000001,England,,,,,,,,Independent school,Total,Total,"Education, health and care plan",44533
202526,Academic year,National,E92000001,England,,,,,,,,Independent school,Total,Total,SEN support / SEN without an EHC plan,102889
202526,Academic year,National,E92000001,England,,,,,,,,Non-maintained special school,Total,Total,Total,4552
202526,Academic year,National,E92000001,England,,,,,,,,Non-maintained special school,Total,Total,"Education, health and care plan",4486
202526,Academic year,National,E92000001,England,,,,,,,,Non-maintained special school,Total,Total,SEN support / SEN without an EHC plan,59
202526,Academic year,National,E92000001,England,,,,,,,,State-funded alternative provision,Total,Total,Total,16555
202526,Academic year,National,E92000001,England,,,,,,,,State-funded alternative provision,Total,Total,"Education, health and care plan",5087
202526,Academic year,National,E92000001,England,,,,,,,,State-funded alternative provision,Total,Total,SEN support / SEN without an EHC plan,8972
202526,Academic year,National,E92000001,England,,,,,,,,State-funded nursery,Total,Total,Total,35708
202526,Academic year,National,E92000001,England,,,,,,,,State-funded nursery,Total,Total,"Education, health and care plan",871
202526,Academic year,National,E92000001,England,,,,,,,,State-funded nursery,Total,Total,SEN support / SEN without an EHC plan,5946
202526,Academic year,National,E92000001,England,,,,,,,,State-funded primary,Total,Total,Total,4470363
202526,Academic year,National,E92000001,England,,,,,,,,State-funded primary,Total,Total,"Education, health and care plan",182182
202526,Academic year,National,E92000001,England,,,,,,,,State-funded primary,Total,Total,SEN support / SEN without an EHC plan,686881
202526,Academic year,National,E92000001,England,,,,,,,,State-funded secondary,Total,Total,Total,3659508
202526,Academic year,National,E92000001,England,,,,,,,,State-funded secondary,Total,Total,"Education, health and care plan",129011
202526,Academic year,National,E92000001,England,,,,,,,,State-funded secondary,Total,Total,SEN support / SEN without an EHC plan,514285
202526,Academic year,National,E92000001,England,,,,,,,,State-funded special school,Total,Total,Total,173286
202526,Academic year,National,E92000001,England,,,,,,,,State-funded special school,Total,Total,"Education, health and care plan",172377
202526,Academic year,National,E92000001,England,,,,,,,,State-funded special school,Total,Total,SEN support / SEN without an EHC plan,748
202526,Academic year,Regional,E92000001,England,London,E12000007,,,,,,Independent school,Total,Total,Total,140186
202526,Academic year,Regional,E92000001,England,London,E12000007,,,,,,Independent school,Total,Total,"Education, health and care plan",6257
202526,Academic year,Regional,E92000001,England,London,E12000007,,,,,,Independent school,Total,Total,SEN support / SEN without an EHC plan,23951
202526,Academic year,Regional,E92000001,England,London,E12000007,,,,,,Non-maintained special school,Total,Total,Total,257
202526,Academic year,Regional,E92000001,England,London,E12000007,,,,,,Non-maintained special school,Total,Total,"Education, health and care plan",256
202526,Academic year,Regional,E92000001,England,London,E12000007,,,,,,Non-maintained special school,Total,Total,SEN support / SEN without an EHC plan,1
202526,Academic year,Regional,E92000001,England,London,E12000007,,,,,,State-funded alternative provision,Total,Total,Total,2195
202526,Academic year,Regional,E92000001,England,London,E12000007,,,,,,State-funded alternative provision,Total,Total,"Education, health and care plan",663
202526,Academic year,Regional,E92000001,England,London,E12000007,,,,,,State-funded alternative provision,Total,Total,SEN support / SEN without an EHC plan,1185
202526,Academic year,Regional,E92000001,England,London,E12000007,,,,,,State-funded nursery,Total,Total,Total,7034
202526,Academic year,Regional,E92000001,England,London,E12000007,,,,,,State-funded nursery,Total,Total,"Education, health and care plan",121
202526,Academic year,Regional,E92000001,England,London,E12000007,,,,,,State-funded nursery,Total,Total,SEN support / SEN without an EHC plan,1456
202526,Academic year,Regional,E92000001,England,London,E12000007,,,,,,State-funded primary,Total,Total,Total,659129
202526,Academic year,Regional,E92000001,England,London,E12000007,,,,,,State-funded primary,Total,Total,"Education, health and care plan",32306
202526,Academic year,Regional,E92000001,England,London,E12000007,,,,,,State-funded primary,Total,Total,SEN support / SEN without an EHC plan,96310
202526,Academic year,Regional,E92000001,England,London,E12000007,,,,,,State-funded secondary,Total,Total,Total,575918
202526,Academic year,Regional,E92000001,England,London,E12000007,,,,,,State-funded secondary,Total,Total,"Education, health and care plan",20805
202526,Academic year,Regional,E92000001,England,London,E12000007,,,,,,State-funded secondary,Total,Total,SEN support / SEN without an EHC plan,71665
202526,Academic year,Regional,E92000001,England,London,E12000007,,,,,,State-funded special school,Total,Total,Total,24322
202526,Academic year,Regional,E92000001,England,London,E12000007,,,,,,State-funded special school,Total,Total,"Education, health and care plan",23998
202526,Academic year,Regional,E92000001,England,London,E12000007,,,,,,State-funded special school,Total,Total,SEN support / SEN without an EHC plan,205
202526,Academic year,Local authority,E92000001,England,London,E12000007,201,City of London,E09000001,,,Independent school,Total,Total,Total,2662
202526,Academic year,Local authority,E92000001,England,London,E12000007,201,City of London,E09000001,,,Independent school,Total,Total,"Education, health and care plan",2
202526,Academic year,Local authority,E92000001,England,London,E12000007,201,City of London,E09000001,,,Independent school,Total,Total,SEN support / SEN without an EHC plan,409
202526,Academic year,Local authority,E92000001,England,London,E12000007,201,City of London,E09000001,,,State-funded primary,Total,Total,Total,229
202526,Academic year,Local authority,E92000001,England,London,E12000007,201,City of London,E09000001,,,State-funded primary,Total,Total,"Education, health and care plan",13
202526,Academic year,Local authority,E92000001,England,London,E12000007,201,City of London,E09000001,,,State-funded primary,Total,Total,SEN support / SEN without an EHC plan,40
202526,Academic year,Local authority,E92000001,England,London,E12000007,301,Barking and Dagenham,E09000002,,,Independent school,Total,Total,Total,164
202526,Academic year,Local authority,E92000001,England,London,E12000007,301,Barking and Dagenham,E09000002,,,Independent school,Total,Total,"Education, health and care plan",77
202526,Academic year,Local authority,E92000001,England,London,E12000007,301,Barking and Dagenham,E09000002,,,Independent school,Total,Total,SEN support / SEN without an EHC plan,8
202526,Academic year,Local authority,E92000001,England,London,E12000007,301,Barking and Dagenham,E09000002,,,State-funded alternative provision,Total,Total,Total,84
202526,Academic year,Local authority,E92000001,England,London,E12000007,301,Barking and Dagenham,E09000002,,,State-funded alternative provision,Total,Total,"Education, health and care plan",11
202526,Academic year,Local authority,E92000001,England,London,E12000007,301,Barking and Dagenham,E09000002,,,State-funded alternative provision,Total,Total,SEN support / SEN without an EHC plan,22
202526,Academic year,Local authority,E92000001,England,London,E12000007,301,Barking and Dagenham,E09000002,,,State-funded primary,Total,Total,Total,23520
202526,Academic year,Local authority,E92000001,England,London,E12000007,301,Barking and Dagenham,E09000002,,,State-funded primary,Total,Total,"Education, health and care plan",918
202526,Academic year,Local authority,E92000001,England,London,E12000007,301,Barking and Dagenham,E09000002,,,State-funded primary,Total,Total,SEN support / SEN without an EHC plan,3920
202526,Academic year,Local authority,E92000001,England,London,E12000007,301,Barking and Dagenham,E09000002,,,State-funded secondary,Total,Total,Total,21583
202526,Academic year,Local authority,E92000001,England,London,E12000007,301,Barking and Dagenham,E09000002,,,State-funded secondary,Total,Total,"Education, health and care plan",658
202526,Academic year,Local authority,E92000001,England,London,E12000007,301,Barking and Dagenham,E09000002,,,State-funded secondary,Total,Total,SEN support / SEN without an EHC plan,2154
202526,Academic year,Local authority,E92000001,England,London,E12000007,301,Barking and Dagenham,E09000002,,,State-funded special school,Total,Total,Total,704
202526,Academic year,Local authority,E92000001,England,London,E12000007,301,Barking and Dagenham,E09000002,,,State-funded special school,Total,Total,"Education, health and care plan",697
202526,Academic year,Local authority,E92000001,England,London,E12000007,301,Barking and Dagenham,E09000002,,,State-funded special school,Total,Total,SEN support / SEN without an EHC plan,7
202526,Academic year,Local authority,E92000001,England,London,E12000007,302,Barnet,E09000003,,,Independent school,Total,Total,Total,6812
202526,Academic year,Local authority,E92000001,England,London,E12000007,302,Barnet,E09000003,,,Independent school,Total,Total,"Education, health and care plan",272
202526,Academic year,Local authority,E92000001,England,London,E12000007,302,Barnet,E09000003,,,Independent school,Total,Total,SEN support / SEN without an EHC plan,1241
202526,Academic year,Local authority,E92000001,England,London,E12000007,302,Barnet,E09000003,,,State-funded alternative provision,Total,Total,Total,56
202526,Academic year,Local authority,E92000001,England,London,E12000007,302,Barnet,E09000003,,,State-funded alternative provision,Total,Total,"Education, health and care plan",12
202526,Academic year,Local authority,E92000001,England,London,E12000007,302,Barnet,E09000003,,,State-funded alternative provision,Total,Total,SEN support / SEN without an EHC plan,43
