time_period,time_identifier,geographic_level,country_code,country_name,region_code,region_name,old_la_code,la_name,new_la_code,phase-type_grouping,boarder,ncyear,resident_headcount,school_in_la,school_outside_la,Camden,Hammersmith_and_Fulham,Islington,Kensington_and_Chelsea,Wandsworth,Westminster
201920,Academic year,Local authority,E92000001,England,E12000007,London,202,Camden,E09000007,Primary,Total,Total,10531,9120,1411,9120,2,300,20,0,653
201920,Academic year,Local authority,E92000001,England,E12000007,London,202,Camden,E09000007,Secondary,Total,Total,7065,5102,1963,5102,34,560,60,4,900
201920,Academic year,Local authority,E92000001,England,E12000007,London,202,Camden,E09000007,Special School,Total,Total,265,228,37,228,5,16,0,1,5
201920,Academic year,Local authority,E92000001,England,E12000007,London,205,Hammersmith and Fulham,E09000013,Primary,Total,Total,9021,8184,837,0,8184,1,595,34,33
201920,Academic year,Local authority,E92000001,England,E12000007,London,205,Hammersmith and Fulham,E09000013,Secondary,Total,Total,5781,4111,1670,4,4111,2,814,114,94
201920,Academic year,Local authority,E92000001,England,E12000007,London,205,Hammersmith and Fulham,E09000013,Special School,Total,Total,274,249,25,3,249,0,0,1,12
201920,Academic year,Local authority,E92000001,England,E12000007,London,206,Islington,E09000019,Primary,Total,Total,12756,11232,1524,576,1,11232,3,0,22
201920,Academic year,Local authority,E92000001,England,E12000007,London,206,Islington,E09000019,Secondary,Total,Total,7938,5607,2331,1140,43,5607,42,0,115
201920,Academic year,Local authority,E92000001,England,E12000007,London,206,Islington,E09000019,Special School,Total,Total,368,327,41,8,1,327,0,1,0
201920,Academic year,Local authority,E92000001,England,E12000007,London,207,Kensington and Chelsea,E09000020,Primary,Total,Total,4946,4578,368,3,172,1,4578,5,147
201920,Academic year,Local authority,E92000001,England,E12000007,London,207,Kensington and Chelsea,E09000020,Secondary,Total,Total,3115,2200,915,2,578,0,2200,16,197
201920,Academic year,Local authority,E92000001,England,E12000007,London,207,Kensington and Chelsea,E09000020,Special School,Total,Total,102,0,102,1,67,0,0,3,29
201920,Academic year,Local authority,E92000001,England,E12000007,London,212,Wandsworth,E09000032,Primary,Total,Total,18573,16845,1728,3,69,0,335,16845,70
201920,Academic year,Local authority,E92000001,England,E12000007,London,212,Wandsworth,E09000032,Secondary,Total,Total,9748,7016,2732,2,521,1,224,7016,85
201920,Academic year,Local authority,E92000001,England,E12000007,London,212,Wandsworth,E09000032,Special School,Total,Total,469,426,43,0,5,0,0,426,0
201920,Academic year,Local authority,E92000001,England,E12000007,London,213,Westminster,E09000033,Primary,Total,Total,7661,6735,926,66,16,7,611,1,6735
201920,Academic year,Local authority,E92000001,England,E12000007,London,213,Westminster,E09000033,Secondary,Total,Total,6142,4957,1185,205,205,15,488,25,4957
201920,Academic year,Local authority,E92000001,England,E12000007,London,213,Westminster,E09000033,Special School,Total,Total,257,141,116,4,97,2,0,4,141
202021,Academic year,Local authority,E92000001,England,E12000007,London,202,Camden,E09000007,Primary,Total,Total,10141,8815,1326,8815,0,301,14,1,575
202021,Academic year,Local authority,E92000001,England,E12000007,London,202,Camden,E09000007,Secondary,Total,Total,7069,5113,1956,5113,30,529,60,0,961
202021,Academic year,Local authority,E92000001,England,E12000007,London,202,Camden,E09000007,Special School,Total,Total,271,226,45,226,6,20,0,1,4
202021,Academic year,Local authority,E92000001,England,E12000007,London,205,Hammersmith and Fulham,E09000013,Primary,Total,Total,8722,7947,775,0,7947,1,555,43,20
202021,Academic year,Local authority,E92000001,England,E12000007,London,205,Hammersmith and Fulham,E09000013,Secondary,Total,Total,5900,4238,1662,7,4238,2,859,105,90
202021,Academic year,Local authority,E92000001,England,E12000007,London,205,Hammersmith and Fulham,E09000013,Special School,Total,Total,293,263,30,2,263,1,0,6,12
202021,Academic year,Local authority,E92000001,England,E12000007,London,206,Islington,E09000019,Primary,Total,Total,12546,10987,1559,612,2,10987,3,0,30
202021,Academic year,Local authority,E92000001,England,E12000007,London,206,Islington,E09000019,Secondary,Total,Total,8119,5701,2418,1174,37,5701,45,3,129
202021,Academic year,Local authority,E92000001,England,E12000007,London,206,Islington,E09000019,Special School,Total,Total,367,327,40,7,1,327,0,0,0
202021,Academic year,Local authority,E92000001,England,E12000007,London,207,Kensington and Chelsea,E09000020,Primary,Total,Total,4806,4473,333,1,174,0,4473,3,118
202021,Academic year,Local authority,E92000001,England,E12000007,London,207,Kensington and Chelsea,E09000020,Secondary,Total,Total,3042,2173,869,8,525,3,2173,16,200
