time_period,time_identifier,geographic_level,country_code,country_name,region_name,region_code,old_la_code,la_name,new_la_code,phase_type_grouping,sex,age,full_time,part_time,headcount,fte
201516,Academic year,Local authority,E92000001,England,London,E12000007,202,Camden,E09000007,Independent school,Total,Total,9213,458,9671,9442
201516,Academic year,Local authority,E92000001,England,London,E12000007,202,Camden,E09000007,State-funded AP school,Total,Total,100,1,101,100.5
201516,Academic year,Local authority,E92000001,England,London,E12000007,202,Camden,E09000007,State-funded nursery,Total,Total,90,24,114,102
201516,Academic year,Local authority,E92000001,England,London,E12000007,202,Camden,E09000007,State-funded primary,Total,Total,12117,8,12125,12121
201516,Academic year,Local authority,E92000001,England,London,E12000007,202,Camden,E09000007,State-funded secondary,Total,Total,9811,0,9811,9811
201516,Academic year,Local authority,E92000001,England,London,E12000007,202,Camden,E09000007,State-funded special school,Total,Total,598,2,600,599
201516,Academic year,Local authority,E92000001,England,London,E12000007,202,Camden,E09000007,Total,Total,Total,31929,493,32422,32175.5
201516,Academic year,Local authority,E92000001,England,London,E12000007,205,Hammersmith and Fulham,E09000013,Independent school,Total,Total,6526,73,6599,6562.5
201516,Academic year,Local authority,E92000001,England,London,E12000007,205,Hammersmith and Fulham,E09000013,Non-maintained special school,Total,Total,49,0,49,49
201516,Academic year,Local authority,E92000001,England,London,E12000007,205,Hammersmith and Fulham,E09000013,State-funded AP school,Total,Total,122,0,122,122
201516,Academic year,Local authority,E92000001,England,London,E12000007,205,Hammersmith and Fulham,E09000013,State-funded nursery,Total,Total,254,138,392,323
201516,Academic year,Local authority,E92000001,England,London,E12000007,205,Hammersmith and Fulham,E09000013,State-funded primary,Total,Total,10485,165,10650,10567.5
201516,Academic year,Local authority,E92000001,England,London,E12000007,205,Hammersmith and Fulham,E09000013,State-funded secondary,Total,Total,8764,0,8764,8764
201516,Academic year,Local authority,E92000001,England,London,E12000007,205,Hammersmith and Fulham,E09000013,State-funded special school,Total,Total,408,0,408,408
