area_code,inflow,outflow,net,age_band,year
E06000001,300.0,163.0,137.0,0-4,2024
E06000002,480.0,674.0,-194.0,0-4,2024
E06000003,360.0,241.0,119.0,0-4,2024
E06000004,589.0,458.0,131.0,0-4,2024
E06000005,323.0,339.0,-16.0,0-4,2024
E06000006,333.0,235.0,98.0,0-4,2024
E06000007,540.0,411.0,129.0,0-4,2024
E06000008,489.0,465.0,24.0,0-4,2024
E06000009,384.0,494.0,-110.0,0-4,2024
E06000010,481.0,834.0,-353.0,0-4,2024
E06000011,1028.0,513.0,515.0,0-4,2024
E06000012,329.0,234.0,95.0,0-4,2024
E06000013,357.0,216.0,141.0,0-4,2024
E06000014,410.0,456.0,-46.0,0-4,2024
E06000015,713.0,819.0,-106.0,0-4,2024
E06000016,943.0,1397.0,-454.0,0-4,2024
E06000017,153.0,111.0,42.0,0-4,2024
E06000018,861.0,1291.0,-430.0,0-4,2024
E06000019,388.0,298.0,90.0,0-4,2024
E06000020,512.0,328.0,184.0,0-4,2024
E06000021,764.0,794.0,-30.0,0-4,2024
E06000022,446.0,406.0,40.0,0-4,2024
E06000023,920.0,1679.0,-759.0,0-4,2024
E06000024,597.0,351.0,246.0,0-4,2024
E06000025,875.0,641.0,234.0,0-4,2024
E06000026,425.0,629.0,-204.0,0-4,2024
E06000027,284.0,277.0,7.0,0-4,2024
E06000030,547.0,471.0,76.0,0-4,2024
E06000031,632.0,710.0,-78.0,0-4,2024
E06000032,826.0,1353.0,-527.0,0-4,2024
E06000033,586.0,605.0,-19.0,0-4,2024
E06000034,843.0,742.0,101.0,0-4,2024
E06000035,1177.0,977.0,200.0,0-4,2024
E06000036,430.0,363.0,67.0,0-4,2024
E06000037,476.0,352.0,124.0,0-4,2024
E06000038,558.0,874.0,-316.0,0-4,2024
E06000039,866.0,1047.0,-181.0,0-4,2024
E06000040,530.0,483.0,47.0,0-4,2024
E06000041,629.0,431.0,198.0,0-4,2024
E06000042,1038.0,775.0,263.0,0-4,2024
E06000043,590.0,668.0,-78.0,0-4,2024
E06000044,453.0,695.0,-242.0,0-4,2024
E06000045,495.0,789.0,-294.0,0-4,2024
E06000046,160.0,108.0,52.0,0-4,2024
E06000047,1201.0,763.0,438.0,0-4,2024
E06000049,956.0,591.0,365.0,0-4,2024
E06000050,773.0,584.0,189.0,0-4,2024
E06000051,709.0,444.0,265.0,0-4,2024
E06000052,842.0,532.0,310.0,0-4,2024
E06000053,6.0,11.0,-5.0,0-4,2024
E06000054,1322.0,1019.0,303.0,0-4,2024
E06000055,691.0,555.0,136.0,0-4,2024
E06000056,1427.0,869.0,558.0,0-4,2024
E06000057,633.0,335.0,298.0,0-4,2024
E06000058,758.4,819.4,-61.0,0-4,2024
E06000059,1032.7,585.7,447.0,0-4,2024
E06000060,1861.0,1209.0,652.0,0-4,2024
E06000061,1026.8,582.8,444.0,0-4,2024
E06000062,1031.6,904.6,127.0,0-4,2024
E06000063,340.5,206.5,134.0,0-4,2024
E06000064,285.1,183.1,102.0,0-4,2024
E06000065,1478.4,1093.4,385.0,0-4,2024
E06000066,1133.9,752.9,381.0,0-4,2024
E09000001,20.0,41.0,-21.0,0-4,2024
E09000002,1791.0,1880.0,-89.0,0-4,2024
E09000003,1592.0,2049.0,-457.0,0-4,2024
E09000004,1151.0,1135.0,16.0,0-4,2024
E09000005,1485.0,2377.0,-892.0,0-4,2024
E09000006,1369.0,1414.0,-45.0,0-4,2024
E09000007,558.0,1117.0,-559.0,0-4,2024
E09000008,2002.0,2604.0,-602.0,0-4,2024
E09000009,1536.0,2336.0,-800.0,0-4,2024
E09000010,1603.0,1763.0,-160.0,0-4,2024
E09000011,1318.0,1993.0,-675.0,0-4,2024
E09000012,775.0,1557.0,-782.0,0-4,2024
E09000013,581.0,939.0,-358.0,0-4,2024
E09000014,1306.0,1862.0,-556.0,0-4,2024
E09000015,1243.0,1666.0,-423.0,0-4,2024
E09000016,1543.0,1240.0,303.0,0-4,2024
E09000017,1689.0,1993.0,-304.0,0-4,2024
E09000018,1199.0,1902.0,-703.0,0-4,2024
E09000019,525.0,1088.0,-563.0,0-4,2024
E09000020,387.0,693.0,-306.0,0-4,2024
E09000021,636.0,733.0,-97.0,0-4,2024
E09000022,938.0,1892.0,-954.0,0-4,2024
E09000023,1153.0,1927.0,-774.0,0-4,2024
E09000024,909.0,1379.0,-470.0,0-4,2024
E09000025,1611.0,3208.0,-1597.0,0-4,2024
E09000026,1907.0,2774.0,-867.0,0-4,2024
E09000027,719.0,759.0,-40.0,0-4,2024
E09000028,912.0,1808.0,-896.0,0-4,2024
E09000029,863.0,818.0,45.0,0-4,2024
E09000030,845.0,1889.0,-1044.0,0-4,2024
E09000031,1198.0,2163.0,-965.0,0-4,2024
E09000032,973.0,1917.0,-944.0,0-4,2024
E09000033,543.0,1018.0,-475.0,0-4,2024
E06000001,270.0,146.0,124.0,5-9,2024
E06000002,315.0,583.0,-268.0,5-9,2024
E06000003,302.0,212.0,90.0,5-9,2024
E06000004,496.0,392.0,104.0,5-9,2024
E06000005,259.0,234.0,25.0,5-9,2024
E06000006,243.0,257.0,-14.0,5-9,2024
E06000007,407.0,300.0,107.0,5-9,2024
E06000008,481.0,365.0,116.0,5-9,2024
E06000009,352.0,441.0,-89.0,5-9,2024
E06000010,431.0,679.0,-248.0,5-9,2024
E06000011,849.0,504.0,345.0,5-9,2024
E06000012,299.0,220.0,79.0,5-9,2024
E06000013,298.0,221.0,77.0,5-9,2024
E06000014,320.0,358.0,-38.0,5-9,2024
E06000015,512.0,667.0,-155.0,5-9,2024
E06000016,698.0,1113.0,-415.0,5-9,2024
E06000017,123.0,79.0,44.0,5-9,2024
E06000018,680.0,1044.0,-364.0,5-9,2024
E06000019,294.0,244.0,50.0,5-9,2024
E06000020,419.0,262.0,157.0,5-9,2024
E06000021,564.0,653.0,-89.0,5-9,2024
E06000022,330.0,285.0,45.0,5-9,2024
E06000023,601.0,1165.0,-564.0,5-9,2024
E06000024,422.0,253.0,169.0,5-9,2024
E06000025,723.0,499.0,224.0,5-9,2024
E06000026,285.0,479.0,-194.0,5-9,2024
E06000027,230.0,248.0,-18.0,5-9,2024
E06000030,394.0,406.0,-12.0,5-9,2024
E06000031,523.0,554.0,-31.0,5-9,2024
E06000032,519.0,978.0,-459.0,5-9,2024
E06000033,441.0,442.0,-1.0,5-9,2024
E06000034,622.0,639.0,-17.0,5-9,2024
E06000035,974.0,767.0,207.0,5-9,2024
E06000036,325.0,285.0,40.0,5-9,2024
E06000037,363.0,327.0,36.0,5-9,2024
E06000038,420.0,690.0,-270.0,5-9,2024
E06000039,559.0,782.0,-223.0,5-9,2024
E06000040,405.0,364.0,41.0,5-9,2024
E06000041,623.0,369.0,254.0,5-9,2024
E06000042,714.0,665.0,49.0,5-9,2024
E06000043,369.0,477.0,-108.0,5-9,2024
E06000044,313.0,516.0,-203.0,5-9,2024
E06000045,335.0,594.0,-259.0,5-9,2024
E06000046,172.0,139.0,33.0,5-9,2024
E06000047,932.0,686.0,246.0,5-9,2024
E06000049,744.0,435.0,309.0,5-9,2024
E06000050,605.0,473.0,132.0,5-9,2024
E06000051,568.0,403.0,165.0,5-9,2024
E06000052,799.0,442.0,357.0,5-9,2024
E06000053,9.0,6.0,3.0,5-9,2024
E06000054,1025.0,893.0,132.0,5-9,2024
E06000055,448.0,406.0,42.0,5-9,2024
E06000056,960.0,707.0,253.0,5-9,2024
E06000057,498.0,271.0,227.0,5-9,2024
E06000058,527.8,626.8,-99.0,5-9,2024
E06000059,831.0,480.0,351.0,5-9,2024
E06000060,1538.3,938.3,600.0,5-9,2024
E06000061,874.4,453.4,421.0,5-9,2024
E06000062,754.9,748.9,6.0,5-9,2024
E06000063,292.2,169.2,123.0,5-9,2024
E06000064,301.5,196.5,105.0,5-9,2024
